POSITION_X,POSITION_Y,TRACK_ID
20.4871,34.8895,76
35.0492,9.08217,75
23.2726,10.65,74
28.5261,28.7265,73
26.4863,31.6562,72
39.387,22.2826,71
5.47173,25.4398,70
25.7271,32.9166,69
24.5025,33.1441,68
8.10848,16.5778,67
40.2786,26.7444,66
23.5828,16.6202,65
16.5022,8.21866,64
23.961,19.4023,63
31.4594,38.4597,62
32.9958,25.8105,61
31.7259,35.4954,60
11.5315,32.2405,59
38.3328,23.5668,58
31.1779,16.804000000000002,57
35.1156,21.1028,56
8.91395,22.491,55
9.63149,23.1541,54
31.5315,6.5719,53
36.9743,21.9881,52
7.872160000000001,21.0343,51
34.3919,33.9485,50
22.7828,9.84096,49
36.6582,10.9168,48
7.86043,29.4894,47
23.2607,15.8467,46
38.5542,34.3379,45
27.3536,33.301,44
6.03175,18.7476,43
43.0608,31.1227,42
25.7803,5.20533,41
23.4138,15.5273,40
11.2178,30.8347,39
16.535999999999998,28.0378,38
40.0388,18.4679,37
41.427,30.6094,36
27.76,6.7508,35
43.8728,30.2014,34
7.21368,24.5432,33
41.0341,35.4487,32
26.174,14.0243,31
43.0977,17.4147,30
19.9855,28.0489,29
38.7512,23.2958,28
12.0282,31.8701,27
20.2082,17.2207,26
21.0138,15.9106,25
27.269000000000002,28.1438,24
35.8704,23.4959,23
10.6556,14.4673,22
21.7674,39.8208,21
34.7905,38.2107,20
30.5423,16.005,19
27.7685,5.7986,18
34.7165,29.9766,17
24.1725,34.1615,16
19.3354,30.5837,15
19.9029,5.89332,14
24.8877,5.130380000000001,13
34.2536,13.7418,12
7.17235,23.2529,11
42.6368,19.182000000000002,10
24.7085,28.8868,9
36.3356,21.274,8
11.7849,18.6254,7
10.2427,30.1752,6
27.4739,31.8482,5
11.8858,37.9086,4
31.7186,24.9603,3
16.6983,17.4324,2
13.1455,31.3022,1
43.2331,77.0134,200
15.7373,64.6638,199
12.4333,89.5849,198
17.0558,78.4001,197
