 ,TRACK_ID,Frame,POSITION_X,POSITION_Y,z,m0,m1,m2,m3,m4,NPscore
24861,7079,471,17.375918000000002,63.667632000000005,0,0.085,1.041,1.396,2.0140000000000002,3.116,0.364
24862,7079,473,17.527006000000004,63.532371,0,0.095,1.091,1.5319999999999998,2.315,3.7439999999999998,0.215
24863,7079,474,17.635401,63.38647,0,0.069,0.987,1.3130000000000002,1.8880000000000001,2.929,0.40700000000000003
24864,7079,476,17.785292,63.400302,0,0.078,0.976,1.2930000000000001,1.85,2.8569999999999998,0.46399999999999997
24865,7080,471,8.174845000000001,65.523647,0,0.111,1.026,1.308,1.754,2.478,0.41600000000000004
24866,7080,473,8.046234000000002,65.52258300000001,0,0.08,0.9670000000000001,1.234,1.67,2.401,0.456
24867,7080,475,8.750336,65.443847,0,0.064,0.987,1.359,2.0340000000000003,3.2880000000000003,0.39
24868,7080,477,8.965796,65.66542500000001,0,0.059000000000000004,1.005,1.45,2.295,3.924,0.268
24869,7080,479,8.489124,65.24953400000001,0,0.10300000000000001,1.018,1.3730000000000002,1.9969999999999999,3.1239999999999997,0.397
24870,7081,471,13.323541000000002,66.696574,0,0.086,1.025,1.3769999999999998,1.995,3.11,0.38799999999999996
24871,7081,473,13.649258000000001,66.56091400000001,0,0.08,1.05,1.507,2.365,4.005,0.25
24872,7082,472,56.486696,0.28488600000000003,0,0.055,0.9940000000000001,1.45,2.325,4.023,0.312
24873,7082,474,55.998054,0.181545,0,0.07400000000000001,0.9390000000000001,1.126,1.401,1.806,0.358
24874,7083,472,25.338362000000004,9.785874000000002,0,0.068,0.91,1.188,1.6980000000000002,2.655,0.45299999999999996
24875,7083,473,25.185545,9.890279,0,0.078,0.8909999999999999,1.12,1.524,2.253,0.37799999999999995
24876,7084,472,29.561511,13.655243000000002,0,0.079,1.002,1.381,2.0709999999999997,3.353,0.38799999999999996
24877,7084,473,29.240715,13.685035000000001,0,0.08199999999999999,1.08,1.535,2.3680000000000003,3.928,0.214
24878,7084,474,29.444471,13.601643999999999,0,0.092,1.043,1.4480000000000002,2.188,3.565,0.294
24879,7085,472,35.175973,19.909302,0,0.096,0.9440000000000001,1.2209999999999999,1.704,2.5669999999999997,0.45
24880,7085,473,35.270270000000004,19.872461,0,0.083,1.051,1.4680000000000002,2.221,3.613,0.297
24881,7086,472,58.432486000000004,25.304713,0,0.065,1.021,1.466,2.2969999999999997,3.875,0.3
24882,7086,473,58.534895999999996,25.191796000000004,0,0.08,0.996,1.355,1.984,3.1189999999999998,0.40299999999999997
24883,7087,472,63.73280200000001,35.035259,0,0.068,1.035,1.46,2.219,3.6060000000000003,0.307
24884,7087,474,63.210112,34.558587,0,0.084,1.0659999999999998,1.508,2.329,3.883,0.23800000000000002
24885,7087,475,63.237776000000004,34.6199,0,0.079,1.0390000000000001,1.419,2.085,3.283,0.349
24886,7088,472,47.012175000000006,46.799907000000005,0,0.069,0.8859999999999999,1.083,1.405,1.9480000000000002,0.324
24887,7088,474,46.525528,46.26710900000001,0,0.07200000000000001,0.9229999999999999,1.2,1.6769999999999998,2.525,0.408
24888,7089,472,25.621652,55.155499000000006,0,0.124,1.06,1.536,2.428,4.13,0.207
24889,7089,473,25.62245,55.255515,0,0.13,0.998,1.272,1.7169999999999999,2.46,0.384
24890,7089,475,25.584279000000002,55.150578,0,0.07400000000000001,0.934,1.1840000000000002,1.609,2.358,0.369
24891,7089,476,25.537063999999997,55.215216,0,0.077,0.975,1.315,1.911,2.984,0.45899999999999996
24892,7089,478,26.142746000000002,55.322281000000004,0,0.07200000000000001,1.045,1.49,2.3209999999999997,3.898,0.233
24893,7090,472,42.456925000000005,55.693617,0,0.08900000000000001,1.04,1.38,1.954,2.952,0.386
24894,7090,474,42.092638,56.212716,0,0.054000000000000006,0.966,1.351,2.064,3.407,0.379
24895,7090,476,42.105007,56.330288,0,0.07,1.015,1.4669999999999999,2.322,3.963,0.302
24896,7091,472,24.557386,56.77610400000001,0,0.099,1.01,1.36,1.9709999999999999,3.069,0.396
24897,7091,474,24.595557000000003,56.58325400000001,0,0.11699999999999999,1.06,1.48,2.239,3.642,0.247
24898,7091,475,24.913427000000002,56.520478000000004,0,0.076,1.018,1.442,2.241,3.7689999999999997,0.326
24899,7091,477,24.818864,56.838747000000005,0,0.084,1.005,1.4180000000000001,2.197,3.6889999999999996,0.311
24900,7092,472,25.992987999999997,57.51053000000001,0,0.057999999999999996,0.8759999999999999,1.109,1.524,2.279,0.366
24901,7092,474,25.993786000000004,57.657894000000006,0,0.057,0.9229999999999999,1.239,1.825,2.9339999999999997,0.41600000000000004
24902,7093,472,28.400554,58.196411,0,0.10300000000000001,0.963,1.25,1.755,2.665,0.44299999999999995
24903,7093,474,28.159159,58.351489,0,0.08,0.96,1.261,1.7919999999999998,2.7539999999999996,0.419
24904,7093,476,28.133224000000002,58.305471,0,0.105,0.995,1.3219999999999998,1.902,2.9589999999999996,0.43700000000000006
24905,7093,477,28.121254,58.279270000000004,0,0.094,0.976,1.254,1.719,2.522,0.46399999999999997
24906,7094,472,4.167289,60.746686,0,0.096,0.9640000000000001,1.25,1.745,2.623,0.451
24907,7094,474,4.430097,60.815580000000004,0,0.073,1.044,1.5090000000000001,2.396,4.1080000000000005,0.237
24908,7094,476,4.158777000000001,60.91306900000001,0,0.077,1.002,1.409,2.162,3.5860000000000003,0.381
24909,7095,472,15.680035,63.737856,0,0.075,1.032,1.433,2.156,3.492,0.33899999999999997
24910,7095,474,15.730176000000002,63.680400000000006,0,0.081,0.9179999999999999,1.122,1.435,1.9280000000000002,0.35100000000000003
24911,7096,472,35.190203999999994,67.06245700000001,0,0.06,0.9279999999999999,1.238,1.81,2.885,0.461
24912,7096,474,35.08367100000001,67.0719,0,0.08199999999999999,1.004,1.3430000000000002,1.9480000000000002,3.054,0.389
24913,7097,472,24.577735,67.393361,0,0.083,1.038,1.429,2.142,3.472,0.342
24914,7097,474,24.788141000000003,67.39442500000001,0,0.079,1.028,1.4,2.073,3.319,0.344
24915,7097,475,24.551667000000005,67.473693,0,0.095,1.015,1.421,2.182,3.6319999999999997,0.344
24916,7098,472,36.395583,67.376071,0,0.055999999999999994,0.893,1.159,1.633,2.503,0.428
24917,7098,474,36.781549,67.344417,0,0.062,0.872,1.03,1.278,1.675,0.261
24918,7098,476,36.679139000000006,67.96659100000001,0,0.039,0.8109999999999999,1.158,1.82,3.1039999999999996,0.37799999999999995
24919,7099,473,14.137235,5.283425,0,0.065,0.953,1.266,1.831,2.877,0.45399999999999996
24920,7099,474,13.767893999999998,5.252702,0,0.067,0.934,1.155,1.501,2.059,0.382
24921,7100,473,49.977011000000005,6.281989000000001,0,0.114,1.0390000000000001,1.391,1.995,3.063,0.349
24922,7100,474,50.059870000000004,6.235040000000001,0,0.113,0.99,1.306,1.851,2.821,0.37799999999999995
24923,7100,476,50.47456400000001,6.4626030000000005,0,0.111,0.9420000000000001,1.18,1.577,2.259,0.37799999999999995
24924,7100,477,50.221731,6.328273000000001,0,0.083,1.058,1.459,2.174,3.4819999999999998,0.265
24925,7100,479,50.13940400000001,5.636407,0,0.065,1.012,1.403,2.097,3.3560000000000003,0.374
24926,7101,473,53.870852000000006,6.751878000000001,0,0.055999999999999994,0.917,1.185,1.64,2.437,0.439
24927,7101,475,54.153211,6.044451,0,0.067,1.02,1.459,2.276,3.822,0.304
24928,7102,473,28.597793,18.412786,0,0.07200000000000001,1.0270000000000001,1.454,2.233,3.6830000000000003,0.312
24929,7102,475,28.45801,18.551638,0,0.098,1.048,1.4380000000000002,2.119,3.346,0.326
24930,7103,473,28.287371000000004,20.386905000000002,0,0.067,0.945,1.238,1.756,2.694,0.45899999999999996
24931,7103,474,28.392042000000004,20.427736000000003,0,0.08199999999999999,0.993,1.3,1.829,2.764,0.41100000000000003
24932,7104,473,29.843072000000003,35.032998,0,0.071,1.008,1.344,1.929,2.977,0.41200000000000003
24933,7104,474,29.635725,35.040712,0,0.053,0.934,1.327,2.096,3.611,0.39399999999999996
24934,7105,473,47.534864999999996,35.04310600000001,0,0.07200000000000001,0.982,1.367,2.0909999999999997,3.477,0.39399999999999996
24935,7105,475,47.522496,34.967429,0,0.102,1.084,1.5390000000000001,2.3609999999999998,3.877,0.21
24936,7106,473,26.942608,38.884944000000004,0,0.081,1.003,1.325,1.881,2.867,0.424
24937,7106,474,26.765851000000005,38.889067000000004,0,0.062,0.9540000000000001,1.295,1.9169999999999998,3.076,0.413
24938,7107,473,3.11885,50.074367,0,0.062,0.9420000000000001,1.263,1.8559999999999999,2.9739999999999998,0.45399999999999996
24939,7107,475,2.4821790000000004,49.828982,0,0.086,1.067,1.538,2.415,4.078,0.215
24940,7108,473,3.48726,60.43027900000001,0,0.081,1.055,1.442,2.122,3.35,0.326
24941,7108,475,3.71735,60.703860000000006,0,0.066,0.9420000000000001,1.186,1.578,2.228,0.37
24942,7109,473,9.141223000000002,62.185081,0,0.109,0.997,1.29,1.781,2.633,0.418
24943,7109,474,9.158779000000001,62.202238,0,0.055999999999999994,0.992,1.426,2.2430000000000003,3.804,0.314
24944,7110,473,12.508783000000001,62.22538000000001,0,0.09,1.03,1.4340000000000002,2.166,3.5260000000000002,0.332
24945,7110,474,12.268984,62.261822,0,0.134,0.997,1.3230000000000002,1.8880000000000001,2.8930000000000002,0.336
24946,7111,474,54.325845,2.8880950000000003,0,0.125,1.073,1.524,2.354,3.9139999999999997,0.201
24947,7111,475,54.21252900000001,2.7791680000000003,0,0.10800000000000001,1.08,1.5290000000000001,2.352,3.895,0.21899999999999997
24948,7112,474,44.862230000000004,4.839205,0,0.067,0.938,1.193,1.6280000000000001,2.391,0.405
24949,7112,476,44.480785999999995,4.210647000000001,0,0.07400000000000001,0.861,0.996,1.186,1.456,0.21100000000000002
24950,7113,474,65.864659,8.949969000000001,0,0.055999999999999994,0.897,1.16,1.635,2.516,0.384
24951,7113,476,65.207772,8.712697,0,0.055999999999999994,0.973,1.364,2.08,3.4210000000000003,0.42100000000000004
24952,7114,474,27.845944,12.553604,0,0.076,1.055,1.482,2.26,3.707,0.264
24953,7114,476,28.160356,13.006735,0,0.061,0.899,1.196,1.754,2.818,0.425
24954,7114,478,27.590185,12.852853999999999,0,0.055,0.88,1.148,1.6380000000000001,2.553,0.435
24955,7114,479,27.454392000000002,12.59643,0,0.07200000000000001,0.963,1.239,1.716,2.5610000000000004,0.455
24956,7115,474,66.41062400000001,12.854982,0,0.064,0.9640000000000001,1.276,1.827,2.8280000000000003,0.418
24957,7115,476,66.83250000000001,12.559855,0,0.08,1.038,1.4069999999999998,2.052,3.2110000000000003,0.384
24958,7116,474,33.69009700000001,19.491948000000004,0,0.096,0.982,1.268,1.755,2.6060000000000003,0.40700000000000003
24959,7116,476,33.65565,19.638381000000003,0,0.078,0.915,1.175,1.619,2.399,0.40700000000000003
24960,7117,474,53.65725400000001,22.917496000000003,0,0.044000000000000004,0.851,1.1540000000000001,1.7280000000000002,2.8339999999999996,0.37200000000000005
24961,7117,475,53.78892400000001,22.5568,0,0.057999999999999996,0.9259999999999999,1.227,1.77,2.772,0.38799999999999996
24962,7118,474,58.325288,32.958597000000005,0,0.102,0.9990000000000001,1.3259999999999998,1.896,2.9189999999999996,0.385
24963,7118,475,58.29443200000001,32.932928,0,0.107,1.032,1.405,2.064,3.259,0.349
24964,7118,476,58.455096,33.029486000000006,0,0.111,1.026,1.413,2.114,3.4130000000000003,0.358
24965,7119,474,12.199691000000001,47.869493,0,0.078,1.037,1.5019999999999998,2.375,4.0360000000000005,0.245
24966,7119,476,11.647342,47.785304000000004,0,0.059000000000000004,0.93,1.251,1.838,2.9389999999999996,0.455
24967,7120,474,4.368252,62.254906000000005,0,0.055999999999999994,0.885,1.12,1.525,2.244,0.35200000000000004
24968,7120,475,4.485425,62.449751,0,0.085,0.99,1.327,1.922,2.9989999999999997,0.40399999999999997
24969,7120,476,4.331677000000001,62.30917,0,0.11800000000000001,1.057,1.413,2.022,3.096,0.349
24970,7121,474,9.869265,64.05120400000001,0,0.067,0.951,1.212,1.6369999999999998,2.349,0.413
24971,7121,475,9.742383000000002,64.140713,0,0.09300000000000001,0.9309999999999999,1.176,1.599,2.3480000000000003,0.35600000000000004
24972,7121,477,9.767919000000001,64.09775400000001,0,0.07,0.9890000000000001,1.3219999999999998,1.9140000000000001,2.9960000000000004,0.41700000000000004
24973,7122,474,42.505071,65.90961300000001,0,0.062,0.988,1.347,1.9969999999999999,3.2,0.386
24974,7122,476,41.98730200000001,66.493616,0,0.06,0.922,1.168,1.5759999999999998,2.274,0.401
24975,7123,475,5.4044550000000005,8.657236000000001,0,0.086,0.902,1.107,1.45,2.037,0.312
24976,7123,476,5.243791,8.634626,0,0.054000000000000006,0.9470000000000001,1.349,2.116,3.597,0.43
24977,7124,475,31.100188,11.932493999999998,0,0.08199999999999999,0.987,1.3719999999999999,2.0780000000000003,3.4010000000000002,0.386
24978,7124,476,31.057096,12.039958000000002,0,0.125,1.065,1.4680000000000002,2.19,3.514,0.27399999999999997
24979,7124,477,31.019989000000002,12.037564,0,0.076,1.012,1.351,1.955,3.056,0.386
24980,7124,478,31.006955,12.026525,0,0.075,0.945,1.172,1.538,2.148,0.462
24981,7124,479,30.972507999999998,12.047273,0,0.092,1.061,1.486,2.252,3.667,0.272
24982,7125,475,7.550676,16.588824,0,0.11599999999999999,1.104,1.528,2.27,3.6039999999999996,0.215
24983,7125,476,7.553203000000001,16.574061,0,0.071,1.021,1.403,2.092,3.364,0.387
24984,7126,475,4.741051,16.977051000000003,0,0.073,0.848,1.005,1.266,1.7080000000000002,0.23
24985,7126,476,4.743844,17.052595,0,0.069,0.977,1.305,1.9,3.0010000000000003,0.462
24986,7127,475,57.003002,22.821337000000003,0,0.091,0.935,1.179,1.5859999999999999,2.287,0.358
24987,7127,477,56.977732,22.648703,0,0.066,1.013,1.4469999999999998,2.2640000000000002,3.8280000000000003,0.275
24988,7127,479,56.994091000000004,22.860705,0,0.078,0.951,1.27,1.85,2.926,0.466
24989,7127,481,56.96509700000001,22.694056000000003,0,0.051,0.868,1.138,1.639,2.5839999999999996,0.384
24990,7127,482,57.07096500000001,22.818145,0,0.077,1.048,1.47,2.2430000000000003,3.685,0.294
24991,7128,475,39.003979,24.258136,0,0.071,1.016,1.429,2.2030000000000003,3.677,0.33799999999999997
24992,7128,476,38.896781000000004,24.314794,0,0.065,0.983,1.3780000000000001,2.119,3.53,0.41200000000000003
24993,7129,475,56.323771,26.996606,0,0.071,1.0170000000000001,1.4809999999999999,2.3680000000000003,4.085,0.281
24994,7129,477,56.352897999999996,27.176688,0,0.05,0.868,1.097,1.4869999999999999,2.168,0.35200000000000004
24995,7130,475,64.983135,27.052200000000003,0,0.052000000000000005,0.867,1.119,1.5830000000000002,2.452,0.324
24996,7130,477,65.10203700000001,26.769575000000003,0,0.053,0.889,1.21,1.828,3.033,0.473
24997,7131,475,29.320648,32.962986,0,0.083,0.966,1.271,1.806,2.772,0.405
24998,7131,476,29.353233,32.621841,0,0.063,0.9,1.1840000000000002,1.702,2.6689999999999996,0.41600000000000004
24999,7132,475,58.528645000000004,34.508845,0,0.094,1.01,1.295,1.7519999999999998,2.505,0.402
25000,7132,476,58.471056,34.375845,0,0.09,1.012,1.338,1.899,2.8930000000000002,0.444
25001,7133,475,31.692037999999997,38.770962999999995,0,0.083,0.961,1.232,1.679,2.436,0.392
25002,7133,476,31.600667000000005,38.800622000000004,0,0.091,1.042,1.4380000000000002,2.155,3.4789999999999996,0.341
25003,7134,475,38.36690900000001,39.674432,0,0.113,1.035,1.35,1.8730000000000002,2.7680000000000002,0.376
25004,7134,476,38.355737000000005,39.60474,0,0.10400000000000001,1.02,1.344,1.891,2.845,0.429
25005,7134,477,38.355205,39.659669,0,0.111,0.953,1.216,1.66,2.431,0.445
25006,7134,479,38.334590000000006,39.64889600000001,0,0.10099999999999999,1.014,1.331,1.868,2.803,0.433
25007,7134,480,38.386061000000005,39.569894,0,0.07,0.961,1.275,1.837,2.866,0.447
25008,7134,481,38.364914,39.59742500000001,0,0.08800000000000001,1.0759999999999998,1.524,2.3369999999999997,3.845,0.20199999999999999
25009,7134,483,38.34576200000001,39.592504,0,0.08199999999999999,1.002,1.413,2.186,3.665,0.386
25010,7135,475,15.223047000000001,43.645413000000005,0,0.061,0.895,1.131,1.526,2.205,0.335
25011,7135,477,15.37081,43.495788000000005,0,0.081,1.043,1.4469999999999998,2.162,3.46,0.278
25012,7136,475,33.844909,55.507683,0,0.086,1.033,1.393,2.019,3.14,0.371
25013,7136,476,33.927502000000004,55.561947,0,0.083,1.031,1.4609999999999999,2.2569999999999997,3.76,0.312
25014,7137,475,14.264915,63.227801,0,0.062,0.897,1.133,1.5419999999999998,2.27,0.336
25015,7137,476,14.151466000000001,63.591955,0,0.069,1.003,1.368,2.029,3.255,0.424
25016,7137,478,14.555387,63.60099900000001,0,0.087,0.9740000000000001,1.244,1.692,2.455,0.49
25017,7138,475,5.347797000000001,64.713012,0,0.08900000000000001,1.016,1.354,1.94,2.986,0.39399999999999996
25018,7138,476,5.415893,64.599563,0,0.08,1.011,1.3419999999999999,1.9169999999999998,2.944,0.446
25019,7138,477,5.4661669999999996,64.54357,0,0.08800000000000001,0.97,1.278,1.8219999999999998,2.804,0.45399999999999996
25020,7138,479,5.787495000000001,63.886284,0,0.085,0.98,1.38,2.133,3.573,0.402
25021,7139,475,16.125984,66.975076,0,0.083,0.89,1.067,1.339,1.7619999999999998,0.282
25022,7139,476,16.32841,66.738336,0,0.094,1.05,1.44,2.123,3.3569999999999998,0.33799999999999997
25023,7140,475,20.154288,67.506411,0,0.084,1.056,1.4569999999999999,2.168,3.467,0.31
25024,7140,476,20.167455,67.509071,0,0.098,1.034,1.364,1.9169999999999998,2.87,0.42
25025,7140,477,20.325592,67.614673,0,0.079,0.9129999999999999,1.14,1.5090000000000001,2.128,0.42
25026,7141,475,13.224722,67.763766,0,0.126,1.012,1.33,1.875,2.839,0.36200000000000004
25027,7141,477,13.610289,67.261691,0,0.075,0.951,1.195,1.584,2.219,0.475
25028,7141,479,13.50615,67.301192,0,0.11599999999999999,0.9940000000000001,1.278,1.7480000000000002,2.545,0.426
