POSITION_X,POSITION_Y,TRACK_ID
49.9646,40.2837,84
49.9355,60.082,83
40.2529,50.0412,82
59.843,49.727,81
29.1545,59.0814,80
52.1983,55.0552,79
39.2928,38.815,78
62.6215,53.1153,77
58.1116,57.8806,76
32.2164,65.8808,75
56.4356,66.187,74
26.8945,51.2935,73
59.9898,53.1073,72
70.4,43.578,71
57.9602,39.6146,70
47.4187,26.0246,69
64.2615,63.0829,68
42.3319,63.9771,67
55.8022,58.3923,66
55.6036,67.3209,65
42.7592,52.375,64
56.6339,26.5094,63
61.3508,59.3934,62
64.5455,37.2923,61
40.4336,62.1534,60
50.2937,40.6292,59
51.3017,45.8104,58
56.2019,30.2476,57
42.7064,57.2478,56
33.2628,43.9127,55
42.226000000000006,29.0414,54
57.7293,36.0232,53
53.1118,41.9431,52
39.8726,58.8972,51
32.0412,34.513000000000005,50
53.2888,62.3522,49
54.1081,63.5659,48
54.9735,38.0245,47
56.3162,50.8935,46
36.388000000000005,47.1356,45
36.1147,39.2821,44
65.7511,49.5497,43
60.5304,69.518,42
31.7363,48.8678,41
38.7632,31.3621,40
46.9905,34.2529,39
66.6501,63.8061,38
71.6975,41.9616,37
45.4773,41.428000000000004,36
52.7291,59.1607,35
26.6659,49.4321,34
35.6248,37.2033,33
34.8008,54.0264,32
45.8199,62.2,31
53.6628,30.3271,30
55.7671,34.0406,29
67.2519,54.461999999999996,28
41.0165,31.2391,27
28.49,46.4209,26
62.3395,60.0714,25
56.722,45.3951,24
63.7802,37.2057,23
41.8677,63.2981,22
44.4697,73.4067,21
54.2406,47.2183,20
54.2684,25.8578,19
45.3194,70.9603,18
51.6955,42.2271,17
53.0719,46.5695,16
43.2949,42.876999999999995,15
57.9991,72.6411,14
39.3926,28.9401,13
51.6504,27.1503,12
52.4813,27.4408,11
61.9751,49.7401,10
57.6081,28.5173,9
68.7618,51.6036,8
64.0769,40.2981,7
40.5544,57.1202,6
37.6809,65.8187,5
51.5244,34.5331,4
54.2211,43.3351,3
49.1128,63.2728,2
73.2513,44.2169,1
39.544000000000004,40.0366,88
40.1383,59.9118,87
59.7812,60.3659,86
60.0531,39.8613,85
50.0217,40.3298,84
49.8356,60.1493,83
40.3713,49.9079,82
59.9108,49.896,81
29.2394,58.9138,80
52.4944,55.2042,79
39.3068,38.8566,78
62.6384,53.1547,77
57.9559,57.8688,76
32.2821,65.8831,75
56.4527,66.1755,74
26.8763,51.2869,73
60.0326,53.2736,72
70.3844,43.6495,71
58.1257,39.5603,70
47.4677,25.9111,69
64.3196,63.2944,68
42.17100000000001,63.9793,67
56.033,58.503,66
55.5506,67.3668,65
42.7459,52.4769,64
56.7123,26.6762,63
61.4831,59.3716,62
64.6381,37.4879,61
40.4996,62.3359,60
50.3861,40.5204,59
51.0956,45.864,58
56.2398,30.0648,57
42.7299,57.0343,56
33.2164,44.0294,55
42.1051,29.2489,54
57.7424,35.9417,53
53.2139,41.9196,52
39.8709,58.9884,51
32.1774,34.6243,50
53.33,62.4222,49
53.9928,63.6284,48
54.9431,38.0302,47
56.3445,50.6949,46
36.3296,47.2446,45
36.0523,39.2282,44
65.5693,49.5301,43
60.3778,69.4005,42
31.5251,48.6471,41
38.6909,31.5144,40
47.0153,34.1092,39
66.6102,63.7813,38
71.7547,41.809,37
45.6161,41.4877,36
52.6394,59.2059,35
26.6711,49.5143,34
